id,name,network_opt_in,brand_theme,created_at,contact_email,phone,settings,website,allowance_mode,student_allowance,suspended,allowed_sports
27681b60-63fd-4832-aa0b-58d3e1f9cd31,Preview Admin's Academy,f,,2026-07-07 18:52:57.421,,,,,true_up,,f,{}
7bc3ac12-e47c-4ce7-a301-151fa7a7f640,Rival Admin's Academy,t,,2026-07-10 20:55:34.967,,,,,true_up,,f,{}
cbda2def-8063-48bf-b667-4bf017c62629,Rival Admin's Academy,t,,2026-07-11 13:43:48.606,,,,,true_up,,f,{}
b95056b0-b2c6-4da8-8a8c-fe5cf4013a7b,Third Admin's Academy,f,,2026-07-10 20:55:35.265,,,,,true_up,,f,{}
d116d7b7-0ccf-4f57-9681-518d631d6065,Scorer Rival's Academy,t,,2026-07-10 21:33:20.38,,,,,true_up,,f,{}
d7d65f95-4376-4d0a-be66-a5efa8d648e7,Rival Admin's Academy,t,,2026-07-08 02:07:24.808,,,,,true_up,,f,{}
3af25196-f3f9-4474-b1b9-02c9f1bbfd08,Test Admin's Academy,t,,2026-07-07 18:43:20.239,admin@testacademy.com,9000011111,"{""policies"": {""deductOnAbsence"": ""afterNoticeWindow"", ""priorNoticeHours"": 12, ""allowMakeupSessions"": true}, ""whatsapp"": {""automatedReminders"": true, ""invoiceGenerationAlerts"": false, ""classCancellationNotices"": false}, ""interschool"": {""showReliabilityScore"": true}}","",true_up,,f,{}
0fe0085a-2d33-4327-bfef-0610e0b55681,New Test Academy Owner's Academy,f,,2026-07-08 05:17:05.129,,,,,true_up,,f,{}
d87ac4ae-29ce-46c0-869e-3f2894822670,Verify Admin's Academy,f,,2026-07-08 09:35:22.114,,,,,true_up,,f,{}
858c67a9-fe68-4a3e-a3e9-568e0656633a,Verify Admin's Academy,f,,2026-07-08 09:36:41.923,,,,,true_up,,f,{}
b4ad9e2f-4202-46c4-8a61-1a79e2637461,Dbg Admin's Academy,f,,2026-07-08 09:36:57.021,,,,,true_up,,f,{}
98890751-580f-4bf2-be9a-b266e16133ee,Verify Admin's Academy,f,,2026-07-08 09:37:16.329,,,,,true_up,,f,{}
9523b81a-5380-40f4-9bb0-c3704fe228d5,Jobs Admin's Academy,f,,2026-07-08 09:45:02.107,,,,,true_up,,f,{}
75a6a3d0-7fc7-4907-9480-76559c6d27ac,Jobs Admin's Academy,f,,2026-07-08 09:45:32.824,,,,,true_up,,f,{}
c52e2fdf-7a6f-4ac8-962a-7f985acbd69c,Verify Admin's Academy,f,,2026-07-08 09:50:16.583,,,,,true_up,,f,{}
eb6dc50a-ac30-4d23-bce3-6bb15a20bb42,Q Admin's Academy,f,,2026-07-08 10:09:07.999,,,,,true_up,,f,{}
7c15f63b-c212-45aa-9605-1117874d3896,Bad Rival's Academy,t,,2026-07-10 21:43:16.829,,,,,true_up,,f,{}
733ec782-9fe4-4c3f-8292-f64fb9d4f004,Rival Admin's Academy,t,,2026-07-10 21:43:33.459,,,,,true_up,,f,{}
6ebf9936-953b-4339-bd59-4f2d66b3942d,Third Admin's Academy,f,,2026-07-10 21:43:33.601,,,,,true_up,,f,{}
91f61b89-694a-493f-8245-12d51912a77a,Venue Rival's Academy,t,,2026-07-11 02:13:50.179,,,,,true_up,,f,{}
0373caa6-5a8e-49fd-9a3c-6ac9b7e1f16e,Rival Admin's Academy,t,,2026-07-11 02:14:07.26,,,,,true_up,,f,{}
b2de4109-f226-430a-b2eb-09c310b4c29a,Third Admin's Academy,f,,2026-07-11 13:43:48.784,,,,,true_up,,f,{}
